CPV Code,Name,Description
09130000,Petroleum,og destillaterFlyparafinFlybrennstoff av petroleumstypenBensinBlyfri bensinBlyholdig bensinEtanolholdig bensinFlytende petroleumsgass (LPG)GassoljerDieseloljeDieseldrivstoffDiesel brennstoff (0.2).Diesel brennstoff (EN 590).BiodieselBrenselsoljerFyringsoljeLavsulfat lettantennelig oljer
09131000,Flyparafin,av petroleumstypen
09131100,Flybrennstoff,av petroleumstypen | av petroleumstypen
09132000,Bensin,bensinBlyholdig bensinEtanolholdig bensin
09132100,Blyfri,bensinBlyholdig bensinEtanolholdig bensin | bensin
09132200,Blyholdig,bensin
09132300,Etanolholdig,bensin
09133000,Flytende,petroleumsgass (LPG)
09134000,Gassoljer,brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel
09134100,Dieselolje,brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel
09134200,Dieseldrivstoff,brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel | brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel
09134210,Diesel,brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel | brennstoff (0.2).Diesel brennstoff (EN 590).Biodiesel | brennstoff (0.2).
09134220,Diesel,brennstoff (EN 590).
09135000,Brenselsoljer,lettantennelig oljer
09135100,Fyringsolje,lettantennelig oljer | lettantennelig oljer
09135110,Lavsulfat,lettantennelig oljer | lettantennelig oljer | lettantennelig oljer
09200000,"Petroleum-,","kull- og oljeprodukterSmørepreparaterSmøreoljer og smøremidlerMotoroljerKompressoroljerTurbinoljerGearoljerGearoljer (Reductor oils)Oljer til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæskerHvite oljer og flytende parafinHvite oljerFlytende parafinOljer og produkter av petroleumLettoljeOlje av petroleumSmøringsolje til traksjonVaseline, voks og spesialspritVaselin og vokserVaselinParafinvoksPetroleumsvoksRestprodukter av petroleumSpesialspritWhite spiritRåoljeOlje- og kullrelaterte produkterBituminøs skifer eller oljeskiferKullrelaterte produkterKull olje"
09210000,Smørepreparater,og smøremidlerMotoroljerKompressoroljerTurbinoljerGearoljerGearoljer (Reductor oils)Oljer til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæskerHvite oljer og flytende parafinHvite oljerFlytende parafinOljer og produkter av petroleumLettoljeOlje av petroleumSmøringsolje til traksjon
09211000,Smøreoljer,og smøremidlerMotoroljerKompressoroljerTurbinoljerGearoljerGearoljer (Reductor oils)Oljer til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæskerHvite oljer og flytende parafinHvite oljerFlytende parafinOljer og produkter av petroleumLettoljeOlje av petroleumSmøringsolje til traksjon | og smøremidlerMotoroljerKompressoroljerTurbinoljerGearoljerGearoljer (Reductor oils)Oljer til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæskerHvite oljer og flytende parafinHvite oljerFlytende parafinOljer og produkter av petroleumLettoljeOlje av petroleumSmøringsolje til traksjon
09211500,Gearoljer,(Reductor oils)
09211600,Oljer,til anvendelse i hydrauliske systemer og til andre formålVesker til hydrauliske formålFormoljerKorrosionsbeskyttende oljerElektroisolerende oljerBremsevæsker
09211610,Vesker,til hydrauliske formål
09211630,Korrosionsbeskyttende,oljer
09211640,Elektroisolerende,oljer
09211700,Hvite,oljer og flytende parafinHvite oljerFlytende parafin
09211710,Hvite,oljer
09211720,Flytende,parafin
09211800,Oljer,og produkter av petroleumLettoljeOlje av petroleum
09211820,Olje,av petroleum
09211900,Smøringsolje,til traksjon
09220000,"Vaseline,",voks og spesialspritVaselin og vokserVaselinParafinvoksPetroleumsvoksRestprodukter av petroleumSpesialspritWhite spirit
09221000,Vaselin,og vokserVaselinParafinvoksPetroleumsvoksRestprodukter av petroleum
09221400,Restprodukter,av petroleum
09222000,Spesialsprit,spirit
09222100,White,spirit | spirit
09240000,Olje-,og kullrelaterte produkterBituminøs skifer eller oljeskiferKullrelaterte produkterKull olje
09241000,Bituminøs,skifer eller oljeskifer
09242000,Kullrelaterte,produkterKull olje
09242100,Kull,olje
09300000,"Elektrisitet,","oppvarming, solenergi og kjernefysisk energiElektrisitetDamp, varmt vann og tilhørende produkterVarmt vannDampFjernvarmeFjernvarmeSolenergiSolcellepanelSolfangere til varmeproduksjonSolcellsmodulerSolenergianleggAtombrennstoffUranPlutoniumRadioaktive materialerRadioisotoper"
09320000,"Damp,",varmt vann og tilhørende produkterVarmt vannDampFjernvarmeFjernvarme
09321000,Varmt,vann
09330000,Solenergi,til varmeproduksjonSolcellsmodulerSolenergianlegg
09331000,Solcellepanel,til varmeproduksjonSolcellsmodulerSolenergianlegg | til varmeproduksjonSolcellsmoduler
09331100,Solfangere,til varmeproduksjonSolcellsmodulerSolenergianlegg | til varmeproduksjonSolcellsmoduler | til varmeproduksjon
09340000,Atombrennstoff,materialerRadioisotoper
09341000,Uran,materialerRadioisotoper
09342000,Plutonium,materialerRadioisotoper
09343000,Radioaktive,materialerRadioisotoper | materialer
